id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count,year,month,day,hour
2541074,Дорожно-транспортные происшествия,Съезд с дороги,Тульская область,37.878799,53.348399,2021-02-06 16:10:00,Светлое время суток,Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,Все участники,Тяжёлый,0,1,2021,2,6,16
1862121,Дорожно-транспортные происшествия,Опрокидывание,Брянская область,34.3681,53.2406,2018-06-30 01:40:00,"В темное время суток, освещение включено",Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,"Мотоциклисты, Все участники",Тяжёлый,0,1,2018,6,30,1
2225270,Дорожно-транспортные происшествия,Наезд на пешехода,Республика Мордовия,45.2275,54.2,2016-02-13 19:25:00,"В темное время суток, освещение включено",Пасмурно,Сухое,2,"Пешеходы, Все участники",Легкий,0,1,2016,2,13,19
1666883,Дорожно-транспортные происшествия,Столкновение,Пермский край,56.070566,58.045281,2016-03-27 01:00:00,"В темное время суток, освещение включено",Пасмурно,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",3,Все участники,Легкий,0,1,2016,3,27,1
1751259,Дорожно-транспортные происшествия,Столкновение,Саратовская область,46.150278,51.766667,2015-07-02 07:30:00,Светлое время суток,Ясно,Сухое,4,Все участники,Тяжёлый,0,4,2015,7,2,7
2648262,Дорожно-транспортные происшествия,Столкновение,Москва,37.408791,55.807027,2021-11-30 19:10:00,"В темное время суток, освещение включено",Пасмурно,Заснеженное,3,Все участники,Легкий,0,1,2021,11,30,19
2003847,Дорожно-транспортные происшествия,Наезд на пешехода,Нижегородская область,43.2737,56.524,2016-10-04 17:30:00,"В темное время суток, освещение включено",Пасмурно,Сухое,2,"Все участники, Пешеходы",Легкий,0,1,2016,10,4,17
2721962,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Воронежская область,40.42825,51.484683,2022-07-23 20:30:00,Сумерки,Пасмурно,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Неправильное применение, плохая видимость дорожных знаков",3,"Мотоциклисты, Дети, Все участники",Тяжёлый,0,2,2022,7,23,20
1813203,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Оренбургская область,54.9658,51.6253,2017-12-19 11:50:00,Светлое время суток,Ясно,Сухое,7,"Дети, Все участники",Тяжёлый,0,5,2017,12,19,11
2054655,Дорожно-транспортные происшествия,Наезд на пешехода,Омская область,73.3647,55.0233,2018-03-25 12:30:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Все участники",Легкий,0,1,2018,3,25,12
1794923,Дорожно-транспортные происшествия,Столкновение,Тюменская область,65.0,57.0,2015-12-29 07:10:00,"В темное время суток, освещение включено",Ясно,Обработанное противогололедными материалами,2,Все участники,Легкий,0,2,2015,12,29,7
